Lon,Lat,Clave,Edo,Est,Tmax
-90.14,20.19,HECCA,CAMP,HECELCHAKAN,29.2
-110.93,29.08,76160,SON,HERMOSILLO,26.8
-110.92,29.07,HMNSO,SON,HERMOSILLO,29.3
-110.92,29.07,HM2SO,SON,HERMOSILLO OBS.,29.8
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,21.2
-109.33,25.98,HDZSI,SIN,HIGERA DE ZARAGOZA,29.4
-99.18,18.57,HIGMR,MOR,HIGUERON,27.9
-89.84,19.75,HPOCA,CAMP,HOPELCHEN,27.5
-108.95,30.21,HSHSO,SON,HUACHINERA,17.7
-97.77,17.8,76773,OAX,HUAJUAPAN DE LEON,26.1
-97.76,17.8,HDLOX,OAX,HUAJUAPAN DE LEON,24.8
-98.53,18.76,HQCPB,PUE,HUAQUECHULA,26.1
-98.05,20.18,HUAPB,PUE,HUAUCHINANGO,16.1
-99.02,18.44,HUTMR,MOR,HUAUTLA,28.5
-98.45,19.1,HJTPB,PUE,HUEJOTZINGO,21.0
-98.41,21.15,HJTHD,HGO,HUEJUTLA,23.5
-99.64,20.37,HCPHD,HGO,HUICHAPAN,19.2
-99.01,19.02,HUIMR,MOR,HUITZILAC,20.6
-92.47,15.13,HUICP,CHIS,HUIXTLA,35.5
-96.55,19.4,IDOVC,VER,IDOLOS,27.2
-99.55,18.34,IGLGR,GRO,IGUALA,31.0
-101.35,20.68,IRPGJ,GTO,IRAPUATO,24.5
-99.22,20.48,IXMHD,HGO,IXMIQUILPAN,25.7
-106.59,23.95,IXPSI,SIN,IXPALINO,34.7
-95.1,16.58,IXTOX,OAX,IXTEPEC,27.8
-98.46,18.58,IZMPB,PUE,IZUCAR DE MATAMOROS,26.6
-96.9,19.51,76687,VER,JALAPA,19.3
-104.51,22.25,JMANR,NAY,JESÚS MARÍA,34.2
-102.35,22.12,JCQAG,AGS,JOCOQUE,21.6
-98.8,18.7,JNCMR,MOR,JONACATEPEC,28.9
-99.05,19.63,K27MX,MEX,KM. 27 + 250,20.7
-105.39,27.53,LBQCH,CHIH,LA BOQUILLA,20.7
-102.57,22.78,LBUZC,ZAC,LA BUFA,16.1
-106.9,23.91,LCRSI,SIN,LA CRUZ,30.0
-98.92,18.68,LCUMR,MOR,LA CUERA,29.6
-97.02,19.6,JOYVC,VER,LA JOYA,14.3
-110.32,24.12,76405,BCS,LA PAZ,26.8
-110.36,24.15,LPZBS,BCS,LA PAZ,26.6
-103.72,19.22,LPSCM,COL,LA POSTA,33.2
-99.11,22.83,LSRTP,TAMPS,LA SERVILLETA,24.3
-103.2,20.3,LDCJL,JAL,LAGO DE CHAPALA,22.3
-103.86,18.9,LDACM,COL,LAGUNA DE AMELA,31.5
-98.55,21.97,AJTSL,SLP,LAS ADJUNTAS,23.0
-101.83,20.66,LADGJ,GTO,LAS ADJUNTAS,21.9
-99.21,19.56,ARBMX,MEX,LAS ARBOLEDAS,22.0
-93.56,16.69,LFLCP,CHIS,LAS FLORES,27.0
-94.91,17.41,LPEVC,VER,LAS PERLAS,24.0
-99.23,16.76,LDGGR,GRO,LAS VIGAS,30.0
-103.21,23.18,LREZC,ZAC,LEOBARDO REYNOSO,21.0
-101.66,21.1,LENGJ,GTO,LEON,24.0
-97.69,19.49,LIBPB,PUE,LIBRES,20.4
-102.66,23,LLBZC,ZAC,LLANO BLANCO,21.0
-103.38,22.84,LOBZC,ZAC,LOBATOS,22.2
-111.35,26.02,76305,BCS,LORETO,27.2
-111.34,26.01,LRTBS,BCS,LORETO,27.2
-102,21.89,CNSAG,AGS,LOS CONOS,22.7
-98.27,21.16,HLSVC,VER,LOS HULES,23.2
-109,25.8,MCHSI,SIN,LOS MOCHIS,28.1
-92.6,17.76,MACTB,TAB,MACUSPANA,25.9
-99.19,26.07,MDRNL,NL,MADERO,21.2
-97.84,22.28,MDRTP,TAMPS,MADERO,21.2
-98.7,22.79,MGSTP,TAMPS,MAGISCATZIN II,23.3
-99.55,24.56,MAGTP,TAMPS,MAGUEYES,20.1
-104.33,19.07,76654,COL,MANZANILLO,30.9
-104.31,19.04,MNZCM,COL,MANZANILLO,30.9
-96.13,17.49,MAROX,OAX,MARIA LOMBARDO                      ,24.3
-97.04,20.06,MDTVC,VER,MARTINEZ DE LA TORRE,23.8
-97.52,25.83,MATTP,TAMPS,MATAMOROS,19.8
-98.81,21.28,76585,SLP,MATLAPA,20.6
-98.8,21.33,MTPSL,SLP,MATLAPA,21.7
-98.1,18.6,MAYPB,PUE,MAYORAZGO 21 PTE.,22.9
-106.41,23.22,76458,SIN,MAZATLAN,27.2
-106.4,23.23,MZTSI,SIN,MAZATLAN,27.4
-89.65,20.95,76644,YUC,MERIDA,28.1
-89.6,21,MEOYC,YUC,MERIDA OBSERVATORIO,28.2
-103.36,21.21,MORZC,ZAC,MEZQUITAL DEL ORO,27.5
-99.15,22.12,MICSL,SLP,MICOS,20.8
-103.44,24.29,MGAZC,ZAC,MIGUEL AUZA,22.9
-99.43,23.91,MHGTP,TAMPS,MIGUEL HIDALGO,20.7
-94.93,18.13,MNZVC,VER,MINZAPAN,23.5
-96.83,19.93,MZNVC,VER,MISANTLA,19.8
-99.21,20.23,MXQHD,HGO,MIXQUIAHUALA,21.3
-101.42,26.91,76342,COAH,MONCLOVA,20.3
-101.41,26.9,MCVCL,COAH,MONCLOVA,20.3
-100.3,25.73,76393,NL,MONTERREY,20.5
-100.26,25.68,MTRNL,NL,MONTERREY,20.3
-101.18,19.7,76665,MICH,MORELIA,24.4
-101.18,19.69,MORMC,MICH,MORELIA,23.6
-89.7,20.49,MUNYC,YUC,MUNA,26.9
-109.68,30.37,NCZSO,SON,NACOZARI,21.8
-99.32,22.52,NRJSL,SLP,NARANJO,21.0
-109.44,27.07,NVJSO,SON,NAVOJOA,27.5
-102.85,21.36,NCTZC,ZAC,NOCHISTLAN,23.5
-90.22,19.43,NYXCA,CAMP,NOH-YAXCHE,29.5
-101.33,27.92,NUEVAROSITA,COAH,NUEVA ROSITA,20.3
-107.95,30.37,76122,CHIH,NUEVO CASAS GRANDES,17.6
-96.7,17.07,76775,OAX,OAXACA,25.8
-96.73,17.06,OACOX,OAX,OAXACA CENTRO,25.9
-96.7,17,OAOOX,OAX,OAXACA OBS. AEROPUERTO,25.9
-99.21,18.9,OBSMR,MOR,OBSERVATORIO,24.2
-98.2,19.4,OBSTL,TLAX,OBSERVATORIO,21.9
-102.29,21.85,OBSAG,AGS,OBSERVATORIO AGS.,23.3
-106.12,28.7,QIJCH,CHIH,OBSERVATORIO CHIHUAHUA,19.7
-99.8,16.8,ODAGR,GRO,OBSERVATORIO DE ACAPULCO,33.2
-107.44,24.63,OBSSI,SIN,OBSERVATORIO DE CULIACAN,29.9
-101.01,25.37,SALCL,COAH,OBSV. SALTILLO,19.4
-104.42,29.56,OJNCH,CHIH,OJINAGA,20.2
-98.43,16.68,OMEGR,GRO,OMETEPEC,26.8
-97.1,18.85,76737,VER,ORIZABA,20.0
-97.1,18.85,ORZVC,VER,ORIZABA,19.9
-89.39,20.29,OXKYC,YUC,OXKUTZCAB,28.0
-97.53,19.7,OYAPB,PUE,OYAMELES,12.6
-104.8,24.51,CBRDR,DGO,P. CABORACA,17.7
-105.62,28.16,FIMCH,CHIH,P. FRANCISCO I. MADERO,19.6
-110.39,28.43,IRASO,SON,P. IGNACIO R. A LA TORRE,29.0
-99.33,20.73,PRGHD,HGO,P. ROJO GOMEZ (LA PEÑA),23.1
-104.67,23.87,SBYDR,DGO,P. SANTIAGO BAYACORA,22.3
-104.5,26.1,VHGDR,DGO,P. VILLA HIDALGO,21.4
-103.34,21.65,EXCZC,ZAC,P.MIGUEL ALEMAN (EXCAME),24.4
-102.29,22.16,PBLAG,AGS,PABELLON,21.5
-98.75,20.13,76632,HGO,PACHUCA,19.5
-98.9,24.05,PADTP,TAMPS,PADILLA,22.3
-92.09,18.12,PLZCA,CAMP,PALIZADAS,27.4
-102.8,22.35,PALZC,ZAC,PALOMAS,21.0
-98.17,22.05,PNCVC,VER,PANUCO,23.5
-96.08,18.16,PAPOX,OAX,PAPALOAPAN,26.2
-105.7,26.9,PRRCH,CHIH,PARRAL,21.3
-98.15,21.73,CHYVC,VER,PASO DE PIEDRAS (CHICAYAN),22.1
-109.08,29.43,PDNSO,SON,PASO NACORI,27.0
-103.81,19.26,PNTCM,COL,PE¤ITAS,33.1
-88.94,19.95,PETYC,YUC,PETO,28.5
-98.36,18.36,PIXPB,PUE,PIAXTLA,30.7
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,18.3
-100.51,28.66,PNGCL,COAH,PIEDRAS NEGRAS,18.2
-98.9,24.13,PILTP,TAMPS,PILON,22.5
-101.4,22.12,PINZC,ZAC,PINO SUÁREZ,20.2
-112.11,30.69,PTQSO,SON,PITIQUITO,23.1
-98.33,21.29,PSNVC,VER,PLATON SANCHEZ,23.1
-102.44,22.24,PTRAG,AGS,POTRERILLOS,21.0
-97.47,20.54,PRCVC,VER,POZA RICA,22.7
-107.63,28.51,AGZCH,CHIH,PRESA ABRAHAM GONZALEZ,18.7
-109.1,27.22,ARCSO,SON,PRESA ADOLFO RUIZ CORTINEZ,28.3
-109.93,27.48,AOBSO,SON,PRESA ALVARO OBREGON,27.4
-101.06,29.44,AMSCL,COAH,PRESA AMISTAD,17.1
-111.51,30.87,CHTSO,SON,PRESA CUAUHTEMOC,27.9
-100.94,29.21,CNTCL,COAH,PRESA EL CENTENARIO,17.6
-97.81,21.18,PEMVC,VER,PRESA EL MORALILLO,24.0
-107.39,29.56,TNTCH,CHIH,PRESA EL TINTERO,18.2
-99.36,20.16,ENDHD,HGO,PRESA ENDO,23.8
-98.68,22.62,ERCTP,TAMPS,PRESA ESTUDIANTE RAMIRO CABALLERO,22.8
-103.96,24,FVLDR,DGO,PRESA FRANCISCO VILLA,25.0
-103.77,25.27,FZRDR,DGO,PRESA FRANCISCO ZARCO,21.0
-106.8,24.57,JLPSI,SIN,PRESA JOSE LOPEZ PORTILLO,31.5
-108.71,26.41,JORSI,SIN,PRESA JOSEFA ORTIZ DE DOMINGUEZ,30.7
-98.33,20.05,PERHD,HGO,PRESA LA ESPERANZA,19.7
-106.97,29.94,LJSCH,CHIH,PRESA LAS LAJAS,15.1
-105.28,28.98,LLNCH,CHIH,PRESA LUIS L. LEON,23.1
-98.91,26.22,MRGTP,TAMPS,PRESA MARTE R. GOMEZ,19.4
-108.57,26.5,PMHSI,SIN,PRESA MIGUEL HIDALGO,32.0
-102.9,21.72,PMOZC,ZAC,PRESA MORALEÑOS,26.3
